C09-W0108    0.    0.           0     0.157     0.157   0.	
C10-W0108    0.    0.          23     0.157     0.157   0.
J08-W0087    0.    0.          46     0.157     0.157   0.
F11-W0108    0.    0.          69     0.157     0.157   0.
D09-W0108    0.    0.         310     0.157     0.157   0.
H03-W0092    0.    0.         334     0.157     0.157   0.
G08-W0087    0.    0.         357     0.157     0.157   0.
J03-W0089    0.    0.         380     0.157     0.157   0.

